nombre;precio
Huevos Frescos Carrefour El Mercado 12 ud.;2.27
Huevos camperos Pazo de Vilane 12 ud.;4.05
Huevos Frescos Carrefour El Mercado 24 ud.;1.96
Huevos Camperos Círculo de Calidad 12 ud.;3.65
Huevos Ecológicos Carrefour Bio 10 ud.;4.49
Huevos de gallinas criadas en suelo Carrefour El Mercado 12 ud.;2.15
Huevos Frescos Carrefour El Mercado 12 ud.;3.39
Clara de huevo pasteurizada Carrefour Classic' 1 l.;2.6
Huevos de gallinas criadas en suelo Carrefour El Mercado 6 ud.;1.22
Huevo de codorniz Carrefour 18 ud.;1.13
Huevos frescos de gallina camperos Círculo de Calidad 6 ud.;2.39
Clara de huevo pasteurizada Carrefour Classic' 320 ml.;1.9
Cava Berberana Gran Tradición Brut rosé D.O. Cava 75 cl.;3.65
Cava blanco Bonaval brut D.O Cava 75 cl.;3.75
Cava Freixenet semiseco pack de 3 botellas de 20 cl.;7.85
Cava Bonaval semiseco D.O Cava 75 cl.;3.75
Cava Bonaval brut nature D.O Cava 75 cl.;3.75
Cava Codorníu-Anna brut pack de 3 botellas de 20 cl.;10.25
Cava Codorníu Benjamín seco de 20 cl.;7.49
Cava Aromes de Celler brut nature 75 cl.;4.45
Cava Jaume Serra brut nature reserva 75 cl.;5.69
Vino Reymos espumoso de Moscatel 75 cl.;4.85
Cava Aromes de Celler brut 75 cl.;4.45
Cava Castell del Llac brut nature reserva 75 cl.;5.05
Champagne Charles de Courance brut 37,5 cl.;12.89
Cava Codorníu semiseco ecológico 75 cl.;7.95
Champagne Moët & Chandon Imperial brut 37,5 cl.;31.3
Cava Berberana brut nature 75 cl.;4.45
Cava Jaume Serra semiseco 75 cl.;4.49
Arroz largo categoria 1 Carrefour Classic´ 1 kg.;1.38
Tomate frito Carrefour pack de 3 briks de 390 g.;1.13
Tomate frito Solís sin gluten pack de 6 brik de 350 g.;2.17
Tomate frito estilo casero Solis sin gluten pack de 3 briks de 200 g.;3.99
Espaguetis nº 3 Gallo 675 g.;1.8
Aceite de girasol Carrefour Classic' 1 l.;1.79
Aceite de oliva virgen extra Maestros de Hojiblanca 1 l.;8.29
Garbanzos cocidos categoría extra Carrefour 400 g.;0.73
Tomate frito Orlando sin gluten pack de 3 unidades de 350 g.;2.85
Aceite de oliva original 0,4º Carbonell 1 l.;6.99
Aceite de girasol Koipe Fritos 1 l.;2.75
Arroz categoría primera Carrefour 1 kg.;1.33
Pasta plumas nº 6 Gallo 675 g.;1.79
Mayonesa con aceite de girasol Carrefour tarro 450 ml.;1.07
Harina de trigo Classic Carrefour 1 kg.;0.65
Gnocchi de patata Carrefour Extra 500 g.;1.09
Arroz redondo Sos 1 kg.;1.93
Sal marina refinada fina Carrefour 1 kg.;0.4
Macarrones Carrefour 1 kg.;1.29
Tomate frito Carrefour tarro 550 g.;0.83
Aceite de oliva virgen extra Coosur garrafa de 5 l.;7.19
Alubias cocidas categoría extra Carrefour 400 g.;0.75
Garbanzos cocidos sin sal añadida categoría extra Carrefour 400 g.;0.73
Pasta espaguetis Carrefour 1 kg.;1.29
Aceite de oliva suave 0,4º Carrefour 1 l.;4.94
Kétchup Classic Carrefour envase 560 g.;1.07
Tomate frito Carrefour pack de 3 briks de 215 g.;0.92
Mayonesa Carrefour envase 500 ml 475g.;1.53
Salsa de tomate de la abuela Original Carrefour tarro 550 g.;2.05
Aceite refinado de girasol especial para freír Carrefour 1 l.;1.69
Vinagre de vino blanco Carrefour 1 l.;0.65
Aceite de girasol para freír Carrefour garrafa 5 l.;1.61
Aceite de oliva virgen extra Carbonell 1 l.;7.99
Fideo cabellín Carrefour 500 g.;0.79
Aceite de oliva intenso 1º Carrefour 1 l.;4.94
Harina de trigo Gallo 1 kg.;1.53
Aceite de oliva virgen extra Carrefour 1 l.;6.14
Tomate frito Carrefour brik 390 g.;0.64
