nombre;precio;volumen
Bacon en tiras Nuestra Alacena de Dia bandeja 2 x 100 g;1,76;(8,80 €/KILO)
Jamón cocido extra Nuestra Alacena de Dia sobre 2 x 225 g;3,75;(8,33 €/KILO)
Pechuga de pavo Nuestra Alacena de Dia sobre 2 x 200 g;3,55;(8,88 €/KILO)
Pechuga de pavo 92% carne Nuestra Alacena de Dia sobre 120 g;2,29;(15,27 €/KILO)
Bacon en lonchas Nuestra Alacena de Dia sobre 200 g;1,99;(9,95 €/KILO)
Jamón cocido extra Elpozo 1954 sobre 150 g;2,00;(13,33 €/KILO)
Jamón cocido extra 97% carne Nuestra Alacena de Dia sobre 150 g;1,99;(13,27 €/KILO)
Pechuga de pavo Elpozo sobre 80 g;1,00;(12,50 €/KILO)
Mortadela Nuestra Alacena de Dia sobre 250 g;1,25;(5,00 €/KILO)
Mortadela con aceitunas Nuestra Alacena de Dia sobre 250 g;1,25;(5,00 €/KILO)
Pechuga de pavo bajo en sal Nuestra Alacena de Dia sobre 200 g;1,96;(9,80 €/KILO)
Jamón de pavo finas lonchas Nuestra Alacena de Dia sobre 180 g;1,49;(8,28 €/KILO)
Fiambre de york Elpozo sobre 300 g;2,00;(6,67 €/KILO)
Jamón cocido extra bajo en sal Nuestra Alacena de Dia sobre 200 g;1,99;(9,95 €/KILO)
Lacón ahumado Nuestra Alacena de Dia sobre 150 g;1,79;(11,93 €/KILO)
Jamón cocido Elpozo sobre 80 g;1,00;(12,50 €/KILO)
Mortadela Bologna I.G.P. Selección Mundial de Dia sobre 150 g;1,99;(13,27 €/KILO)
Pechuga de pavo braseado Campofrío sobre 75 g;1,00;(13,33 €/KILO)
Fiambre de pavo sándwich Elpozo bandeja 270 + 30 g;2,00;(7,41 €/KILO)
Guanciale Selección Mundial de Dia bandeja 100 g;1,99;(19,90 €/KILO)
Pechuguitas de pollo asada La carloteña bandeja 100 g;2,05;(20,50 €/KILO)
Jamón de pavo con trufa y boletus Elpozo sobre 120 + 20 g;2,00;(16,67 €/KILO)
Chopped lata Nuestra Alacena de Dia Dia sobre 150 g;1,59;(10,60 €/KILO)
Cabeza de jabalí Nuestra Alacena de Dia sobre 150 g;1,75;(11,67 €/KILO)
Pavo maxi Nuestra Alacena de Dia 900 g + 100 g;2,99;(3,32 €/KILO)
Pechuga de pollo braseado Nuestra Alacena de Dia sobre 200 g;2,20;(11,00 €/KILO)
Jamón cocido extra Nuestra Alacena de Dia sobre 250 g;2,25;(9,00 €/KILO)
Mortadela de pavo Nuestra Alacena de Dia sobre 200 g;1,75;(8,75 €/KILO)
Chopped pork Campofrío sobre 95 g;1,00;(10,53 €/KILO)
Pechuga de pavo bajo en grasa y reducido en sal Nuestra Alacena de Dia 500 g;3,99;(7,98 €/KILO)
Chopped de pavo Nuestra Alacena de Dia sobre 200 g;1,79;(8,95 €/KILO)
Bacon en taco Nuestra Alacena de Dia bolsa 300 g;2,99;(9,97 €/KILO)
Pavo trufado con pistachos Serrano sobre 150 g;1,79;(11,93 €/KILO)
Chopped pork Nuestra Alacena de Dia sobre 250 g;1,39;(5,56 €/KILO)
Panceta curada Nuestra Alacena de Dia sobre 150 g;2,15;(14,33 €/KILO)
Jamón asado al horno Bonnatur sobre 100 g;2,00;(20,00 €/KILO)
Pechuga de pavo Elpozo Bienstar bandeja 75 g;1,00;(13,33 €/KILO)
Pechuga de pavo braseado Nuestra Alacena de Dia sobre 200 g;2,45;(12,25 €/KILO)
Magro de cerdo cocido Nuestra Alacena de Dia lata 200 g;2,35;(11,75 €/KILO)
Jamón cocido asado extra Elpozo 1954 bandeja 100 g;2,00;(20,00 €/KILO)
Jamón de cebo ibérico 50% Nuestra Alacena de Dia bandeja 90 g;4,64;(51,56 €/KILO)
Paleta de cebo ibérica 50% Nuestra Alacena de Dia bandeja 100 g;4,99;(49,90 €/KILO)
Jamón Serrano Nuestra Alacena de Dia bandeja 200 g;3,59;(13,45 €/KILO)
MEDIAS LONCHAS Jamón Serrano Nuestra Alacena de Dia bandeja 100 g;1,73;(17,30 €/KILO)
LONCHAS EXTRAFINAS Jamón Serrano Nuestra Alacena de Dia bandeja 120 g;2,45;(20,42 €/KILO)
TAQUITOS de Jamón Curado para cocinar Nuestra Alacena de Dia sobre 2 x 75 g;2,15;(14,33 €/KILO)
Mini taquitos de jamón Nuestra Alacena de Dia bandeja 2 x 75 g;2,21;(14,73 €/KILO)
Paleta Curada 50% Duroc Nuestra Alacena de Dia bandeja 110 g;2,69;(24,45 €/KILO)
Jamón curado Navidul sobre 45 g;1,00;(22,22 €/KILO)
Jamón curado Elpozo 1954 sobre 100 g;2,00;(20,00 €/KILO)
Jamón curado Elpozo 1954 bandeja 2 x 75 g;3,00;(20,00 €/KILO)
Pizcas de jamón de cebo ibérico 50 % Nuestra Alacena de Dia bandeja 60 g;1,99;(33,17 €/KILO)
Jamón curado bajo en sal Navidul sobre 45 g;1,00;(22,22 €/KILO)
PÉTALOS paleta de cebo ibérica Nuestra Alacena de Dia sobre 90 g;4,49;(49,89 €/KILO)
Jamón Serrano 50% Duroc Nuestra Alacena de Dia sobre 125 g;3,99;(31,92 €/KILO)
Paleta de cebo ibérica Navidul estuche 5 x 40 g;10,00;(34,95 €/KILO)
(18,45 €/KILO);Jamón de cebo ibérico 50% de raza ibérica Navidul sobre 110 g;7,25 €
(49,91 €/KILO);(10,89/KILO);(44,13 €/KILO)
Chorizo extra Nuestra Alacena de Dia bandeja 2 x 100 g;1,75;(7,45 €/KILO)
Lomo embuchado Nuestra Alacena de Dia bandeja 2 x 70 g;2,55;(18,21 €/KILO)
Espetec extra Casa Tarradellas bolsa 180 g;2,49;(13,83 €/KILO)
Chorizo extra dulce Nuestra Alacena de Dia bolsa 270 g;2,40;(8,89 €/KILO)
Fuet extra Nuestra Alacena de Dia bolsa 2 x 170 g;3,79;(11,15 €/KILO)
Salami extra Nuestra Alacena de Dia bandeja 200 g;1,62;(6,75 €/KILO)
Longaniza payés extra Nuestra Alacena de Dia bandeja 2 x 50 g;1,79;(17,90 €/KILO)
Salchichón extra Nuestra Alacena de Dia bandeja 2 x 100 g;1,71;(8,55 €/KILO)
Chorizo de pamplona extra Nuestra Alacena de Dia bandeja 2 x 100 g;1,73;(8,65 €/KILO)
Mini fuet Nuestra Alacena de Dia bolsa 50 g;0,99;(19,80 €/KILO)
Chorizo extra picante Nuestra Alacena de Dia bolsa 270 g;2,40;(8,89 €/KILO)
Chorizo y salchichón extra Nuestra Alacena de Dia bandeja 2 x 100 g;2,39;(11,95 €/KILO)
Taquitos de chorizo Revilla bandeja 65 g;1,00;(15,38 €/KILO)
Chorizo ibérico extra Nuestra Alacena de Dia bandeja 2 x 60 g;2,02;(16,83 €/KILO)
Chorizo Revilla sobre 65 g;1,00;(15,38 €/KILO)
Espetec extra Nuestra Alacena de Dia bolsa 170 g;2,25;(13,24 €/KILO)
Salchichón ibérico extra Nuestra Alacena de Dia bandeja 2 x 60 g;2,09;(17,42 €/KILO)
Longaniza imperial Elpozo bolsa 250 g;2,95;(11,80 €/KILO)
Caña de lomo Navidul sobre 40 g;1,09;(27,25 €/KILO)
Chorizo de león picante Nuestra Alacena de Dia bandeja 100 g;1,99;(19,90 €/KILO)
Cabecero de lomo Nuestra Alacena de Dia sobre 2 x 70 g;2,58;(18,43 €/KILO)
Chorizo de león dulce Nuestra Alacena de Dia bandeja 100 g;1,99;(19,90 €/KILO)
Salchichón de pavo extra Nuestra Alacena de Dia bandeja 2 x 60 g;2,05;(17,08 €/KILO)
Chorizo de León dulce Nuestra Alacena de Dia bolsa 250 g;3,07;(12,28 €/KILO)
Mini fuet con pavo Nuestra Alacena de Dia bolsa 50 g;0,99;(19,80 €/KILO)
Chorizo de pavo extra Nuestra Alacena de Dia bandeja 2 x 60 g;2,05;(17,08 €/KILO)
Sobrasada Elpozo tarrina 250 g;2,19;(8,76 €/KILO)
Salami extra Revilla sobre 65 g;1,00;(15,38 €/KILO)
Lomo de cebo ibérico 50% Nuestra Alacena de Dia bandeja 80 g;3,79;(47,38 €/KILO)
Salchichón nobleza Elpozo bandeja 65 g;1,00;(15,38 €/KILO)
Chorizo de León picante Nuestra Alacena de Dia bolsa 250 g;3,07;(12,28 €/KILO)
Longaniza con pavo Elpozo bolsa 230 g;2,99;(13,00 €/KILO)
Pétalos salchichón extra 50% duroc Nuestra Alacena de Dia sobre 80 g;1,99;(24,88 €/KILO)
Chorizo extra picante Revilla sobre 65 g;1,00;(15,38 €/KILO)
Salchichón a la pimienta Sola bandeja 100 g;1,99;(19,90 €/KILO)
Chorizo ibérico Nuestra Alacena de Dia sobre 90 g;2,59;(28,78 €/KILO)
Chorizo dulce Palacios bolsa 250 g;3,99;(15,96 €/KILO)
Salchichón de Vic Exentis sobre 80 g;2,25;(28,13 €/KILO)
Lomo embuchado ya cortado España e hijos sobre 200 g;3,99;(19,95 €/KILO)
Salchichón extra ya cortado España e hijos sobre 200 g;2,99;(14,95 €/KILO)
Queso semicurado Mahón Quesería del Mundo 220 g;3,49;(15,86 €/KILO)
Queso mozzarella rallado Dia Láctea bolsa 200 g;1,75;(8,75 €/KILO)
Queso semicurado ibérico Quesería del Mundo 175 g;2,99;(17,09 €/KILO)
Queso curado El Cencerro de Dia 250 g;2,99;(9,57 €/KILO)
Queso mezcla 4 quesos rallado Dia Láctea bolsa 200 g;1,96;(9,80 €/KILO)
Queso especial pasta en polvo Dia Láctea bolsa 150 g;1,34;(8,93 €/KILO)
Queso sándwich Dia Láctea sobre 160 g;1,25;(7,81 €/KILO)
Queso de cabra roqueforti Quesería del Mundo 150 g;2,99;(19,93 €/KILO)
Rulo de queso de cabra Dia Lactea 140 g;1,75;(12,50 €/KILO)
Queso semicurado El Cencerro de Dia Dia 250 g;2,75;(11,00 €/KILO)
